x,e,t,hr
0.39293838,1,0.06800181,0.24194722
-0.31364396,1,7.0769086,0.29110193
0.26880193,1,3.161469,-0.053331356
-0.8157901,1,13.969666,-0.16723073
0.24790591,1,10.365602,-0.14128537
-0.7587427,1,0.49767256,-0.3606792
0.33862758,1,3.3541875,0.6284298
-0.808575,1,0.2726309,-0.44504103
-0.36246714,0,15.0,0.3437871
0.40991765,1,1.4999582,-0.41625586
0.026256308,1,1.0785105,0.7093453
-0.3664242,1,2.602383,0.4603904
0.81068313,1,3.768573,-0.3595608
0.46214607,1,3.087797,-0.15892087
-0.81334656,0,15.0,-0.26965263
-0.66812426,1,11.547387,-0.22732349
-0.12357123,1,0.62153214,0.31194708
0.503288,1,1.9014171,-0.34263554
0.12443676,1,0.29864872,-0.07952574
-0.58780855,1,0.11786137,-0.025922075
0.08527185,1,4.8527756,-0.2243529
0.5845986,1,0.014082102,0.23247625
-0.16541788,1,14.124681,-0.35285613
-0.51662874,1,0.07260137,-0.3228127
-0.9889092,1,0.5873204,-0.35053682
-0.5835034,1,6.8323226,0.21619692
0.0041422006,1,5.4631796,-0.21750988
-0.43753043,1,0.037766024,0.3652079
0.7751869,1,9.1837,-0.5034183
-0.14037332,1,2.5084755,-0.069028646
-0.96721506,1,4.7266006,-0.410216
0.14429353,1,1.4315022,0.67706907
-0.9929356,1,0.34050184,-0.35438025
0.361806,1,3.5824723,-0.24258868
0.8753367,0,15.0,-0.48597768
0.41924646,1,11.472124,-0.36838698
0.12914069,1,3.0800664,0.14863619
0.8242642,1,2.9775355,-0.18519646
-0.33483946,0,15.0,-0.3299471
-0.8251845,1,7.0034647,-0.23603566
-0.087458804,1,6.145941,0.49763608
-0.91863364,1,1.8032142,-0.33980274
0.018803455,1,3.9817128,0.5784938
-0.4853038,1,0.64458674,-0.32833266
-0.1529639,1,2.1980934,0.76940143
-0.8131459,1,6.1672506,-0.40530145
-0.06533945,1,1.2909799,0.8307948
-0.52243316,1,1.6698372,0.088908106
-0.8203363,1,7.069687,-0.22653165
0.22435872,1,4.550859,-0.3615754
-0.574337,0,15.0,0.18057562
0.60805273,1,0.3543124,-0.3016324
0.23437218,1,7.6159377,0.7632557
-0.9320927,1,3.9642591,-0.5338284
-0.5049737,1,3.7706182,0.38393375
0.13514833,0,15.0,0.09165928
0.294865,0,15.0,-0.33363065
-0.116241455,1,1.2686712,0.6256183
0.39588448,1,1.5638953,-0.019931434
-0.069704026,0,15.0,0.963118
0.40271962,1,0.86707616,0.24655595
0.33305424,1,7.6663203,0.025908621
0.96223557,1,4.475419,-0.42500326
-0.06638025,1,9.707312,0.44120222
-0.803632,0,15.0,-0.485859
-0.45154998,1,1.2669336,-0.2467493
-0.67332464,1,2.0874255,-0.47809052
-0.7878895,1,2.6205564,-0.513766
0.68815494,1,1.422049,-0.42939177
-0.45701632,1,3.8122282,0.48001152
0.89047325,1,5.468211,-0.3461066
0.18928717,1,0.24515423,0.7465869
0.10190655,1,0.42706263,0.14101323
0.038560722,1,0.050191443,0.6085461
0.5379174,1,0.35399634,0.2282485
-0.507358,1,5.308346,0.28791893
-0.1382487,0,15.0,0.7893926
0.8729437,1,6.5814204,-0.38751563
0.7987832,1,3.198202,-0.12920447
-0.5075142,1,6.5020905,-0.09768251
-0.22560959,1,4.5304856,0.8400633
0.3799051,1,1.3964288,0.5872227
-0.83330345,1,0.8978596,-0.38585097
-0.37692767,1,3.4763234,-0.32299444
0.5032299,1,2.969657,0.38687274
-0.21315932,1,0.13505204,0.09566996
0.34787193,1,6.202064,-0.36210796
-0.80334383,1,11.352605,-0.16555381
0.5172493,1,3.9519174,0.06493971
0.32527283,1,2.6752582,0.69030005
0.7928513,1,2.146524,-0.3296736
-0.5151058,1,9.118328,0.165439
-0.09254475,1,1.0510052,-0.32411525
